AppID,Name,Release date,Developers,Publishers,Price,total_reviews,review_score_percent,Genres
711980,Starship EVO,"Jun 19, 2020",Moonfire Entertainment,Moonfire Entertainment,9.99,1079,85.17145505097312,"Action, Adventure, Indie, Simulation, Early Access"
12210,Grand Theft Auto IV: The Complete Edition,"Mar 24, 2020","Rockstar North, Rockstar Toronto",Rockstar Games,5.99,175184,82.480706000548,"Action, Adventure"
1153430,Love wish,"Jan 13, 2020",Double W,Toffee Cafe,0.52,1816,80.39647577092511,"Action, Casual, Indie"
693800,Loco Parentis / 孤女咒怨,"Sep 19, 2019",Fair Games Studio,"Sad Horse studio, Pleasant Rain Ltd",5.99,514,54.280155642023345,"Action, Adventure, Indie, Massively Multiplayer, RPG"
1069230,月影魅像-解放之羽-,"Jul 26, 2019",Applique,HIKARI FIELD,5.27,3507,97.5762760193898,"Adventure, Casual"
999220,Amnesia: Rebirth,"Oct 20, 2020",Frictional Games,Frictional Games,2.99,8686,76.85931383836058,"Adventure, Indie"
1140170,Arietta of Spirits,"Aug 20, 2021",Third Spirit Games,"Third Spirit Games, Red Art Games",2.99,602,85.88039867109634,"Action, Adventure, Indie"
1690730,Incremental Cubes,"Nov 3, 2021","Idle System, Inc.","Idle System, Inc.",0.0,958,69.31106471816284,"RPG, Simulation, Free To Play"
986020,Kunoichi Botan,"Jan 3, 2019",Enokippu,Kagura Games,5.99,533,81.23827392120076,"Indie, RPG"
951000,Trap Shrine,"Mar 29, 2019",No Strike,Eroge Japan,1.99,1606,94.14694894146949,Casual
1493760,Youtubers Life 2,"Oct 19, 2021",UPLAY Online,UPLAY Online,12.49,2174,73.18307267709292,"Adventure, Casual, Indie, Simulation, Strategy"
1347430,Cute Honey,"Jul 22, 2020",Lovely Games,"Lovely Games Hentai Club, Lovely Games",0.99,4820,90.87136929460581,"Casual, Indie, RPG, Simulation"
1455840,Dorfromantik,"Apr 28, 2022",Toukana Interactive,Toukana Interactive,8.39,27597,96.52860818204877,"Casual, Indie, Simulation, Strategy"
